기관ID,구,주소
C1103554,성북구,서울특별시 성북구 동소문로42길 14 1층 (하월곡동)
C1107707,성동구,서울특별시 성동구 왕십리로 320-1 1층 (도선동)
C1107528,노원구,서울특별시 노원구 석계로9길 25 1층 오른쪽점포호 (월계동)
C1102075,강동구,서울특별시 강동구 구천면로 231
C1102888,은평구,서울특별시 은평구 진관2로 57-7 B105호 (진관동 은평뉴타운우물골)
C1108534,강남구,서울특별시 강남구 압구정로34길 11 압구정스퀘어 (신사동)
C1103192,강서구,서울특별시 강서구 가로공원로82길 41-8
C1102037,양천구,서울특별시 양천구 지양로 22
C1107545,성동구,서울특별시 성동구 아차산로 92 광명타워 1층 (성수동2가)
C1107781,광진구,서울특별시 광진구 광나루로 410 105호 (화양동 KCC파크타운)
C1109175,광진구,서울특별시 광진구 아차산로 243 2호선 건대입구역 2층 005호 (화양동)
C1102919,광진구,서울특별시 광진구 아차산로 218 (자양동)
C1108413,광진구,서울특별시 광진구 능동로 110 스타시티영존 지하2층 B203-1204호 (화양동)
C1102920,광진구,서울특별시 광진구 능동로 지하 110  (화양동)
C1103441,중랑구,서울특별시 중랑구 면목로 421
C1103548,노원구,서울특별시 노원구 동일로191길 23 1층 (공릉동)
C1108205,동대문구,서울특별시 동대문구 약령중앙로 72-2 (제기동)
C1108846,강남구,서울특별시 강남구 선릉로 806 지하1층 (청담동)
C1101528,마포구,서울특별시 마포구 마포대로 205-1 (아현동)
C1103720,양천구,서울특별시 양천구 목동서로 38 상가A동 107호 113호 (목동 목동신시가지아파트1단지)
C1102097,영등포구,서울특별시 영등포구 여의대방로 383
C1103191,동대문구,서울특별시 동대문구 고산자로 476 1층 (제기동 서울제기동우체국)
